order_delivered_customer_month,product_category_name_english,total_revenue,total_revenue_ranking,order_count,order_count_ranking
2017-02-01,fashio_female_clothing,207.0,40,3,36
2017-02-01,dvds_blu_ray,45.0,50,2,38
2017-02-01,construction_tools_construction,300.0,37,2,38
2017-02-01,fashion_shoes,107.0,45,2,38
2017-02-01,audio,75.0,48,2,38
2017-02-01,home_comfort_2,73.0,49,2,38
2017-02-01,costruction_tools_garden,580.0,28,1,43
2017-02-01,furniture_bedroom,450.0,33,1,43
2017-02-01,computers,2200.0,21,1,43
2017-02-01,home_construction,187.0,41,1,43
2017-02-01,security_and_services,183.0,42,1,43
2017-02-01,books_technical,159.0,43,1,43
2017-02-01,kitchen_dining_laundry_garden_furniture,110.0,44,1,43
2017-02-01,home_confort,95.0,46,1,43
2017-03-01,furniture_decor,25540.0,2,289,1
2017-03-01,bed_bath_table,25202.0,3,219,2
2017-03-01,health_beauty,25108.0,4,179,3
2017-03-01,sports_leisure,26212.0,1,167,4
2017-03-01,computers_accessories,17253.0,8,136,5
2017-03-01,housewares,16586.0,9,134,6
2017-03-01,telephony,5969.0,17,130,7
2017-03-01,cool_stuff,21220.0,6,114,8
2017-03-01,garden_tools,20310.0,7,109,9
2017-03-01,toys,11952.0,12,86,10
2017-03-01,perfumery,16512.0,10,85,11
2017-03-01,auto,13573.0,11,72,12
2017-03-01,watches_gifts,22927.0,5,67,13
2017-03-01,,5810.0,18,50,14
2017-03-01,fashion_bags_accessories,3799.0,23,50,14
2017-03-01,office_furniture,9621.0,13,46,16
2017-03-01,pet_shop,7144.0,16,43,17
2017-03-01,baby,4107.0,21,41,18
2017-03-01,consoles_games,7182.0,15,39,19
2017-03-01,stationery,4526.0,20,35,20
2017-03-01,small_appliances,9551.0,14,30,21
2017-03-01,luggage_accessories,4052.0,22,30,21
2017-03-01,electronics,2991.0,25,26,23
2017-03-01,market_place,2765.0,26,23,24
2017-03-01,fixed_telephony,1312.0,30,20,25
2017-03-01,air_conditioning,5806.0,19,20,25
2017-03-01,books_general_interest,2553.0,27,20,25
2017-03-01,food,1801.0,29,18,28
2017-03-01,audio,1025.0,31,13,29
2017-03-01,home_appliances,739.0,35,12,30
2017-03-01,furniture_living_room,2415.0,28,12,30
2017-03-01,musical_instruments,923.0,32,8,32
2017-03-01,fashion_shoes,850.0,33,8,32
2017-03-01,fashion_male_clothing,775.0,34,7,34
